Altium Designer Pick and Place Locations
D:\ProjektiOtvoreni\Expanderi\Relay\hw\DE-211024\Project Outputs for DE-211024\Pick Place for PCB_BaseBoard.csv

========================================================================================================================
File Design Information:

Date:       23/10/24
Time:       15:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"P3","ULINK ICSP","TopLayer","HDR1X3","800.000","1380.000","0","Header, 3-Pin"
"U9","","TopLayer","ZZ311","1612.874","1820.551","270","800mA and 1A Low Dropout Positive Regulator 2.85V, 3.3V, 5V, and Adjustable"
"U8","","TopLayer","TSOT-26","2050.000","1511.181","90","2A synchronous  buck converter"
"U7","AP3012KTR-E1","TopLayer","SOT-23-5","1202.401","1677.880","180","Diodes Incorporated AP3012KTR-E1 Boost type Adjustable 1.25V~29V 500mA 2.6V~16V SOT-23-5 DC-DC Converters ROHS"
"U6","24AA01T-I/OT","BottomLayer","SOT-23-OT5_N","822.756","1647.401","0","1Kbit, 400kHz, 1.8V, I2C Serial EEPROM, 5-Pin SOT-23, Industrial Temperature, Tape and Reel"
"U5","ESDS552","BottomLayer","DCK3_N","2345.590","2975.433","90","ESD Protection Array for AC Signal Data Interface, 2 Channels, -40 to +85 degC, 3-pin SC70 (DCK), Green (RoHS & no Sb/Br)"
"U4","SN75176BD","BottomLayer","D008_N","2345.000","2755.512","90","Differential Bus Transceiver"
"U3","TLV803MDBZR","BottomLayer","DBZ3_N","1162.598","1857.401","180","Voltage Supervisor with Active-Low, Open Drain Reset, 1 Supply Monitored, -40 to 125 degC, 3-pin SOT-23 (DBZ), Green (RoHS & no Sb/Br)"
"U2","ULN2803A","TopLayer","SOIC-18_L11.6-W7.5-P1.27-LS10.3-BL","339.682","1670.000","90","High-Voltage, High-Current Darlington Array"
"U1","STM32F030C8T6","BottomLayer","STM-LQFP48_N","1180.000","1500.000","270","ARM Cortex-M0 32-bit MCU, 64 KB Flash, 8 KB Internal RAM, 39 I/Os, 48-pin LQFP, -40 to 85 degC, Tray"
"R17","2K2","TopLayer","ERA-0603","1200.000","1540.000","90","Rectangular Thick Film Chip Resistor, 10 Ohm to 330k Ohm Range, 0.1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"R16","2K2","TopLayer","ERA-0603","1140.000","1530.000","270","Rectangular Thick Film Chip Resistor, 10 Ohm to 330k Ohm Range, 0.1% and 0.5% Tolerance, 0603 Size, 0.063 W"
