Altium Designer Pick and Place Locations
H:\OneDrive\Desktop\DE-260124\Project Outputs for DE-260124\Pick Place for DE-260124.csv

========================================================================================================================
File Design Information:

Date:       27/01/24
Time:       10:44
Revision:   0
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C1","100nF","TopLayer","0603","1065.000","1105.000","180","Ceramic Chip Capacitor - Standard"
"C2","100nF","TopLayer","0603","1710.000","515.000","90","Ceramic Chip Capacitor - Standard"
"C3","100nF","TopLayer","0603","1065.000","1590.000","180","Ceramic Chip Capacitor - Standard"
"C4","100nF","TopLayer","0603","1040.000","905.000","360","Ceramic Chip Capacitor - Standard"
"C5","100nF","TopLayer","0603","590.000","2050.000","360","Ceramic Chip Capacitor - Standard"
"C6","4u7","TopLayer","0805","460.000","965.000","180","Ceramic Chip Capacitor - Standard"
"C7","100nF","TopLayer","0603","465.000","1035.000","180","Ceramic Chip Capacitor - Standard"
"C8","1uF","TopLayer","0603","1040.000","965.000","360","Ceramic Chip Capacitor - Standard"
"C9","10nF","TopLayer","0603","1040.000","1025.000","360","Ceramic Chip Capacitor - Standard"
"C10","100nF","TopLayer","0603","500.000","1580.000","360","Ceramic Chip Capacitor - Standard"
"C11","100nF","TopLayer","0603","765.000","2110.000","360","Ceramic Chip Capacitor - Standard"
"C12","10uF","TopLayer","0805","760.000","2260.000","360","Ceramic Chip Capacitor - Standard"
"C13","100nF","TopLayer","0603","765.000","2190.000","360","Ceramic Chip Capacitor - Standard"
"C14","22uF","TopLayer","CAPPR2-5X11","950.000","2160.000","270","Aluminum Electrolytic Capacitor, Radial Style with Long Leads: 47uF, 35V"
"C15","100nF","TopLayer","0603","1365.000","2290.000","180","Ceramic Chip Capacitor - Standard"
"C16","10uF","TopLayer","0805","590.000","2180.000","180","Ceramic Chip Capacitor - Standard"
"C17","10uF","TopLayer","0805","590.000","2260.000","180","Ceramic Chip Capacitor - Standard"
"C18","100nF","TopLayer","0603","590.000","2110.000","180","Ceramic Chip Capacitor - Standard"
"C19","22uF","TopLayer","CAPPR2-5X11","1185.000","2160.000","270","Aluminum Electrolytic Capacitor, Radial Style with Long Leads: 47uF, 35V"
"D1","LED_RED","TopLayer","1.6X0.8X0.8","100.000","370.000","90","High Performance Chip LED, Red"
"D2","LED_RED","TopLayer","1.6X0.8X0.8","182.333","370.000","90","High Performance Chip LED, Red"
"D3","LED_RED","TopLayer","1.6X0.8X0.8","264.667","370.000","90","High Performance Chip LED, Red"
"D4","LED_RED","TopLayer","1.6X0.8X0.8","347.000","370.000","90","High Performance Chip LED, Red"
"D5","LED_RED","TopLayer","1.6X0.8X0.8","429.333","370.000","90","High Performance Chip LED, Red"
"D6","LED_RED","TopLayer","1.6X0.8X0.8","511.666","370.000","90","High Performance Chip LED, Red"
"D7","LED_RED","TopLayer","1.6X0.8X0.8","594.000","370.000","90","High Performance Chip LED, Red"
"D8","LED_RED","TopLayer","1.6X0.8X0.8","676.333","370.000","90","High Performance Chip LED, Red"
"D9","LED_RED","TopLayer","1.6X0.8X0.8","758.666","370.000","90","High Performance Chip LED, Red"
"D10","LED_RED","TopLayer","1.6X0.8X0.8","840.000","370.000","90","High Performance Chip LED, Red"
"D11","LED_RED","TopLayer","1.6X0.8X0.8","923.333","370.000","90","High Performance Chip LED, Red"
"D12","LED_RED","TopLayer","1.6X0.8X0.8","1005.666","370.000","90","High Performance Chip LED, Red"
"D13","LED_RED","TopLayer","1.6X0.8X0.8","1088.000","370.000","90","High Performance Chip LED, Red"
"D14","LED_RED","TopLayer","1.6X0.8X0.8","1170.333","370.000","90","High Performance Chip LED, Red"
"D15","LED_RED","TopLayer","1.6X0.8X0.8","1252.666","370.000","90","High Performance Chip LED, Red"
"D16","LED_RED","TopLayer","1.6X0.8X0.8","1334.999","370.000","90","High Performance Chip LED, Red"
"D17","LED_RED","TopLayer","1.6X0.8X0.8","1329.999","95.000","270","High Performance Chip LED, Red"
"D18","LED_RED","TopLayer","1.6X0.8X0.8","1247.666","95.000","270","High Performance Chip LED, Red"
"D19","LED_RED","TopLayer","1.6X0.8X0.8","1165.333","95.000","270","High Performance Chip LED, Red"
"D20","LED_RED","TopLayer","1.6X0.8X0.8","1083.000","95.000","270","High Performance Chip LED, Red"
"D21","LED_RED","TopLayer","1.6X0.8X0.8","1000.666","95.000","270","High Performance Chip LED, Red"
"D22","LED_RED","TopLayer","1.6X0.8X0.8","918.333","95.000","270","High Performance Chip LED, Red"
"D23","LED_RED","TopLayer","1.6X0.8X0.8","836.000","95.000","270","High Performance Chip LED, Red"
"D24","LED_RED","TopLayer","1.6X0.8X0.8","753.666","95.000","270","High Performance Chip LED, Red"
"D25","LED_RED","TopLayer","1.6X0.8X0.8","671.333","95.000","270","High Performance Chip LED, Red"
"D26","LED_RED","TopLayer","1.6X0.8X0.8","589.000","95.000","270","High Performance Chip LED, Red"
"D27","LED_RED","TopLayer","1.6X0.8X0.8","506.666","95.000","270","High Performance Chip LED, Red"
"D28","LED_RED","TopLayer","1.6X0.8X0.8","424.333","95.000","270","High Performance Chip LED, Red"
"D29","LED_RED","TopLayer","1.6X0.8X0.8","1710.000","820.000","270","High Performance Chip LED, Red"
"D30","LED_RED","TopLayer","1.6X0.8X0.8","342.000","95.000","270","High Performance Chip LED, Red"
"D31","LED_RED","TopLayer","1.6X0.8X0.8","259.667","95.000","270","High Performance Chip LED, Red"
"D32","LED_RED","TopLayer","1.6X0.8X0.8","177.333","95.000","270","High Performance Chip LED, Red"
"D33","LED_RED","TopLayer","1.6X0.8X0.8","95.000","95.472","270","High Performance Chip LED, Red"
"P1","TERMINAL BLOK 2","TopLayer","TERMINAL_BLOK_2","1595.000","215.000","180","2 pinski terminal blok"
"P2","Header 10X2","TopLayer","HDR2X10","1470.000","1575.000","90","Header, 10-Pin, Dual row"
"P3","ICSP","TopLayer","HDR1X3","547.795","790.000","180","Header, 3-Pin"
